Jugador,Equipo,Arquetipo Ofensivo,Arquetipo Defensivo,POISE Ofensivo,POISE Defensivo,POISE Total,Valor Scoring,Valor Spacing,Valor Passing,Valor Rim Protection,Valor Rebounding
Moises Kermon,ORL,Tirador estatico,Protector del aro,5.6,6.0,18.6,8.2,4.3,0.9,1.5,0.3
Sibel Hatje,ORL,Tirador estatico,Reboteador,5.4,7.8,15.7,5.4,1.8,5.7,9.0,3.9
Adam Macoun,OKC,General,Bloqueos,1.8,7.3,17.4,4.7,8.8,3.5,9.1,3.3
Gaultiero Magson,ATL,Tirador estatico,Perimetral,12.3,5.1,2.0,2.9,8.3,8.7,7.0,3.4
Serene Beek,TOR,Roller,Bloqueos,6.8,8.3,21.0,0.3,6.1,7.9,5.0,2.3
Cheston Pinching,CHI,Tirador estatico,Bloqueos,4.6,4.8,25.8,9.8,2.8,9.9,0.9,2.0
Gavrielle Bier,OKC,Tirador,Baja actividad,2.6,-2.5,-0.6,0.2,8.6,7.0,2.5,3.6
Caitrin Trippett,DAL,Roller,Perimetral,11.3,-2.7,4.1,0.9,4.4,4.3,8.6,3.7
Marjy O'Hagerty,BOS,Roller,Baja actividad,8.0,-1.7,14.7,1.7,8.1,0.4,5.2,3.1
Barry Bettison,BRK,General,Perimetral,6.5,-2.1,7.7,8.1,7.6,6.6,1.3,2.5
Delmer Ruddock,CHO,General,Protector del aro,3.8,11.3,13.0,9.5,0.7,9.9,7.5,0.5
Kalie Bartaletti,IND,Creador,Baja actividad,-0.4,-2.6,19.0,6.0,0.4,6.2,7.0,3.2
Teddy Kirk,CLE,Tirador estatico,Baja actividad,11.3,8.4,-4.0,0.9,0.0,5.9,8.0,0.4
Monty Fortin,CHO,Creador,Bloqueos,9.5,6.1,2.1,4.8,3.6,3.4,5.2,0.9
Hyacintha Janc,CLE,General,Protector del aro,-2.5,0.4,5.0,7.8,2.2,8.9,4.8,1.0
Cynthea Simoncelli,MIN,Tirador,Baja actividad,11.3,-1.2,3.2,6.3,3.9,1.2,7.7,0.5
Emili Shill,MIL,Tirador,Reboteador,-4.6,3.7,23.6,5.5,8.2,5.5,3.3,0.7
Connie Zarb,NYK,Roller,Perimetral,7.4,4.9,-6.9,5.0,1.2,9.4,2.4,1.6
Deb Duchateau,WAS,General,Baja actividad,-2.2,9.2,8.3,1.1,0.5,8.0,1.5,1.3
Everard Fricke,CHO,Tirador,Perimetral,14.7,3.7,-7.3,8.7,2.4,8.5,5.9,2.7
Mercedes Beardsdale,MIA,Creador,Reboteador,2.5,3.6,-5.2,9.0,4.2,3.7,1.4,1.1
Rozalin Chatel,OKC,Tirador,Bloqueos,-5.0,5.9,17.0,6.6,3.8,7.5,8.4,1.6
Fulvia Dennick,DEN,Creador,Bloqueos,6.9,6.6,-0.3,1.9,1.6,8.1,8.3,0.6
Ralph Bennough,CHI,Tirador estatico,Bloqueos,8.2,11.5,25.5,7.9,7.7,9.6,6.0,3.5
Billie Imorts,MIL,Tirador estatico,Reboteador,-2.4,0.9,-4.3,6.6,8.2,1.6,7.3,3.5
Byrann Dawkins,CHO,Tirador estatico,Baja actividad,-2.0,3.1,1.0,9.9,0.3,5.1,7.3,2.8
Padgett Swedeland,ATL,Creador,Reboteador,9.1,7.8,0.0,8.0,7.5,9.2,7.9,1.5
Vanessa Craggs,NYK,Creador,Bloqueos,7.2,9.1,19.8,8.1,8.3,4.9,1.4,1.1
Terrance Mole,IND,Tirador estatico,Bloqueos,5.1,10.2,24.8,4.2,1.7,2.4,6.6,2.8
Peterus Bone,ATL,Roller,Bloqueos,-2.8,4.7,12.9,1.5,5.5,7.2,6.6,1.9
Janie Jedras,PHI,Creador,Bloqueos,3.1,2.3,-6.2,6.7,2.6,4.7,0.9,2.2
Harley Clemens,OKC,Roller,Reboteador,4.2,3.4,26.5,0.3,3.7,2.0,1.4,1.3
Joeann Tricker,DET,Roller,Reboteador,2.1,0.2,-4.6,7.1,7.8,5.7,3.7,1.2
Pernell Mitchelmore,BOS,General,Perimetral,0.5,0.5,4.9,5.9,5.0,9.4,3.1,3.9
Stefanie McMychem,PHO,General,Bloqueos,-2.1,12.0,8.6,1.6,8.1,5.0,6.1,1.4
Cherida Alston,TOR,Creador,Perimetral,-4.5,3.2,-3.8,8.1,1.8,7.4,7.7,2.8
Gena Linning,PHO,Roller,Protector del aro,4.8,2.2,14.6,5.1,7.4,0.9,8.8,1.6
Marlena Alkins,PHO,Creador,Bloqueos,5.0,10.4,18.4,1.3,8.1,1.9,4.8,2.0
Hastie Sissons,IND,General,Baja actividad,8.8,3.7,4.7,0.7,4.6,0.7,5.1,2.7
Joella Mackley,MIN,General,Perimetral,13.5,5.4,19.2,6.7,4.7,3.0,8.3,0.5
Garrek Leadbetter,CLE,Roller,Perimetral,13.8,2.5,26.5,2.1,2.1,3.4,5.6,0.3
Freda Twiddy,ORL,Tirador,Perimetral,12.6,11.4,-7.0,6.4,7.3,8.8,9.1,1.2
Sara Alldred,DET,Tirador,Bloqueos,4.8,1.9,13.8,5.9,7.9,3.6,1.2,1.5
Christina Kolushev,CHI,Roller,Perimetral,-0.3,10.0,-2.5,3.1,2.7,6.4,9.3,0.5
Jerry Jepensen,BOS,Tirador estatico,Reboteador,4.2,2.9,22.5,2.9,8.9,4.9,4.0,1.7
Ashby Ceely,MIA,Creador,Baja actividad,12.5,8.2,24.3,7.0,2.5,7.2,1.6,3.3
Garek Pietsma,CHO,Tirador estatico,Perimetral,13.9,5.5,18.6,9.3,2.3,8.8,7.9,1.3
Erminie Prichard,DAL,Roller,Baja actividad,1.5,9.7,19.6,1.7,2.6,3.5,4.1,1.8
Fonz Perche,CLE,Creador,Protector del aro,9.1,5.4,20.2,8.1,6.1,6.8,7.2,3.7
Robinson Jakubiak,IND,Tirador,Protector del aro,0.7,10.5,5.3,3.6,0.9,9.2,5.1,2.2
Brigida Stanyan,PHI,Tirador estatico,Reboteador,3.1,7.3,14.9,9.1,7.5,2.4,3.5,1.9
Norine Chaunce,NYK,Tirador,Protector del aro,-0.5,8.7,17.3,5.8,2.9,3.3,0.7,3.0
Kingsley Hearnah,WAS,Creador,Perimetral,3.8,4.7,10.2,6.0,4.6,3.0,8.8,1.3
Chlo Edward,TOR,General,Protector del aro,8.7,8.0,25.4,1.3,2.2,0.3,3.7,1.4
Kaitlynn Kobpal,CHO,Tirador,Protector del aro,-4.0,-1.5,3.9,6.5,9.4,5.6,8.8,0.9
Ranice Tarver,MIA,Tirador,Bloqueos,1.0,4.6,0.4,5.2,5.0,9.3,8.4,3.1
Ursulina Scrimgeour,ORL,Tirador estatico,Perimetral,14.9,5.8,22.3,5.1,5.3,6.2,5.0,3.2
Amalita Finnan,IND,Creador,Bloqueos,-4.9,11.0,24.5,0.2,6.8,4.7,3.8,3.8
Lara Saffran,MIA,Creador,Bloqueos,-0.7,4.1,0.7,2.5,7.4,7.7,4.5,4.0
Gilligan Furley,MIA,Tirador estatico,Bloqueos,-2.5,3.2,1.5,1.2,0.1,8.3,9.0,2.3
Alina Burgon,MIL,Tirador,Perimetral,6.9,6.2,24.5,4.0,6.3,3.6,1.0,0.0
Phillipe Aust,MIA,Tirador estatico,Protector del aro,14.9,3.4,26.3,6.3,4.3,7.8,5.3,3.0
Kathryne Mattisssen,PHO,General,Bloqueos,10.7,7.1,5.7,9.6,8.2,6.6,8.5,0.2
Marrissa Flement,MIA,General,Reboteador,4.8,0.6,8.4,1.9,9.7,3.6,3.1,2.8
Trumaine Tother,MIL,Roller,Reboteador,7.1,5.6,-5.6,9.0,2.4,6.1,8.9,1.7
Currey Munks,DEN,General,Bloqueos,0.1,11.8,21.0,8.9,3.1,0.4,3.6,1.7
Ibby Boorne,OKC,Roller,Protector del aro,3.4,1.8,-1.9,0.2,7.2,9.9,0.5,2.6
Claire Boriston,IND,Creador,Baja actividad,0.1,1.7,9.0,4.0,6.6,9.9,9.1,4.0
Sky Beetham,IND,Creador,Reboteador,3.8,6.9,23.9,9.2,5.5,6.2,4.8,1.0
Anna-diana Speachley,BOS,Creador,Protector del aro,2.1,9.2,-5.2,5.8,1.1,7.4,3.8,3.8
Chrysa Hinstridge,PHI,Roller,Reboteador,1.0,3.0,4.6,0.6,9.7,9.8,3.6,2.1
Othilie Molohan,CHO,Roller,Bloqueos,2.9,4.4,21.8,9.8,7.8,1.7,0.6,0.8
Suzie Rawlyns,DET,Tirador estatico,Bloqueos,4.4,0.9,5.3,5.8,6.5,3.2,2.1,3.3
Charleen Barke,WAS,Roller,Baja actividad,-2.8,0.5,-2.0,3.1,8.4,5.0,8.1,2.2
Matty Wickardt,ATL,Tirador estatico,Protector del aro,2.6,4.6,19.2,1.4,6.4,0.7,2.3,2.1
Julian Gurg,OKC,Roller,Bloqueos,11.2,3.3,-5.3,4.5,5.8,2.4,4.8,3.4
Giorgia Foucard,PHO,Tirador estatico,Perimetral,3.8,9.8,23.2,8.5,0.7,1.0,7.8,2.3
Baron Tressler,PHI,Tirador,Bloqueos,12.4,7.5,5.4,6.0,7.2,2.3,4.9,1.3
Johny Le Barr,MIL,Creador,Perimetral,5.0,6.1,-7.5,8.1,1.6,3.3,2.0,3.7
Adda Grotty,NYK,Creador,Perimetral,7.4,-0.6,-3.0,7.9,9.4,9.6,4.1,2.0
Roth Crook,CLE,General,Reboteador,7.6,0.8,25.1,8.1,0.7,7.0,5.2,1.7
Lily Gowan,MIA,General,Protector del aro,0.6,5.3,0.1,7.6,3.4,1.0,7.5,0.1
Corrie Grishukov,BRK,Creador,Reboteador,5.9,5.5,8.9,3.7,8.5,4.6,0.6,0.1
Erika Crews,DEN,Roller,Bloqueos,14.8,7.1,0.8,9.8,4.6,1.0,4.8,3.6
Dulci Fadell,BRK,Tirador estatico,Bloqueos,-2.8,3.7,-4.9,1.9,4.8,0.5,6.2,0.8
Quent Craigheid,PHI,Creador,Reboteador,0.6,11.3,10.8,3.3,6.2,3.4,3.4,2.2
Brod Cobbold,WAS,Tirador,Bloqueos,-3.0,11.6,18.9,6.9,3.4,8.4,3.5,1.1
Emmery Jaggi,OKC,General,Perimetral,8.5,1.6,11.5,2.5,8.6,6.2,8.4,3.3
Holly Scarborough,MIL,Tirador estatico,Bloqueos,4.3,9.6,8.3,9.2,7.7,1.7,1.4,3.5
Jolee Toor,NYK,Roller,Bloqueos,-3.3,10.6,-5.1,6.2,3.5,1.0,1.4,2.4
Elmo Hebbes,IND,Tirador,Reboteador,-3.8,10.3,20.3,1.8,0.4,3.7,0.5,1.0
Demetria Koenen,MIL,Roller,Perimetral,-2.7,-0.2,19.1,8.3,4.1,1.0,1.3,2.0
Antonino Bengtsson,WAS,Roller,Perimetral,11.5,3.7,15.3,5.6,6.4,6.1,2.8,1.5
Mal Govett,MIL,Tirador estatico,Perimetral,-2.0,3.5,-5.1,5.3,2.6,9.7,8.4,1.0
Melita MacFie,CHO,Tirador estatico,Baja actividad,-1.6,11.2,-7.7,8.3,2.3,6.4,4.6,3.1
Rudolf Haining,DEN,Creador,Perimetral,13.0,4.1,5.1,5.7,9.1,5.9,2.4,2.9
Sindee Sturman,WAS,Roller,Bloqueos,-4.8,6.2,5.4,3.3,3.9,4.4,2.9,2.3
Selle Spier,ATL,Creador,Baja actividad,8.9,7.5,18.5,3.7,1.6,1.5,4.1,0.6
Charmane Strathman,TOR,Roller,Protector del aro,14.2,4.2,26.0,4.7,7.8,9.4,9.6,3.5
Gwendolyn Helversen,CHI,Tirador,Protector del aro,10.2,6.7,25.2,7.5,5.8,9.9,5.2,1.9
Cordie Van Arsdall,BRK,Roller,Protector del aro,12.5,8.8,-7.7,1.4,2.7,5.8,3.4,0.6
Wildon MacSkeaghan,OKC,Roller,Bloqueos,-0.9,-1.1,17.3,3.8,6.1,6.2,5.7,3.6
Valerie Blakeway,OKC,General,Reboteador,9.2,8.1,18.1,0.3,6.5,9.1,7.2,3.6
Ellen Mizen,BRK,Tirador estatico,Perimetral,-1.9,-1.0,8.7,7.0,4.8,6.7,8.1,2.0
Jdavie Streeten,MIL,Roller,Protector del aro,14.9,5.6,9.6,7.1,0.6,4.7,6.9,0.5
Silvan Bosche,DET,Tirador estatico,Baja actividad,1.2,4.0,23.9,4.8,0.5,3.9,4.9,1.3
Hiram Wilshin,IND,General,Reboteador,0.1,-1.3,20.4,2.0,1.9,6.3,0.5,1.7
Theodor Bachelor,CHO,Creador,Reboteador,7.6,5.6,9.3,0.8,5.8,3.6,1.9,3.4
Hi Roycroft,WAS,Creador,Protector del aro,10.4,-0.9,16.6,2.9,8.3,1.5,5.1,1.5
Margarethe Mc Faul,MIA,Tirador estatico,Reboteador,10.2,2.5,-4.8,0.1,4.1,6.9,4.2,2.8
Griselda McMorland,DET,Tirador estatico,Baja actividad,-1.7,7.6,-0.0,1.9,3.0,1.3,6.5,2.4
Nannie Gandley,CHO,Creador,Reboteador,13.6,7.2,-6.3,9.2,8.4,0.7,5.8,1.9
Fayina Axston,BOS,Roller,Reboteador,3.7,10.2,-6.6,7.2,2.9,4.1,4.4,2.7
Borg Ferneyhough,WAS,Tirador,Bloqueos,1.7,2.6,22.2,2.8,6.8,1.2,0.5,1.2
Broderic Bissex,NYK,Tirador,Baja actividad,6.7,0.9,10.7,7.1,8.2,0.9,4.3,0.9
Ebenezer Winmill,IND,Roller,Bloqueos,1.5,-1.6,2.2,6.9,3.1,0.2,4.9,1.4
Adora Andreaccio,DAL,Roller,Perimetral,2.4,11.8,19.4,5.0,1.4,9.6,9.9,3.8
Cecily Swiffen,MIL,Roller,Baja actividad,6.3,-2.7,1.9,1.0,9.0,0.3,8.3,0.4
Pincus Kuhn,MIL,Tirador estatico,Reboteador,-2.7,8.0,5.7,0.7,9.6,2.2,5.0,0.9
Zebedee Cawse,MIN,General,Bloqueos,14.1,1.2,20.4,2.6,1.5,7.6,4.6,2.0
Karlyn Trubshawe,MIN,Creador,Reboteador,11.9,1.9,2.8,4.1,9.4,3.7,7.1,2.7
Gard Bellson,BRK,Creador,Bloqueos,11.8,0.2,23.3,9.8,6.5,7.4,0.8,2.6
Laney Durdle,NYK,Tirador estatico,Reboteador,2.0,1.9,6.1,4.6,2.4,4.1,8.1,2.0
Nina McElrath,MIN,Creador,Perimetral,9.0,3.2,0.1,5.7,6.2,7.4,1.6,1.3
Wolfie Lugg,DEN,Tirador estatico,Reboteador,5.1,1.9,27.0,5.1,9.7,8.7,2.0,1.6
Donella Badman,IND,Tirador estatico,Bloqueos,-4.6,2.2,24.2,8.3,6.0,4.4,6.1,0.2
Toby Titchen,MIN,Tirador estatico,Protector del aro,13.3,11.9,20.7,1.4,3.8,9.3,1.4,1.9
Beitris Barfield,MIN,Roller,Reboteador,-3.3,-0.0,20.0,4.3,1.0,0.5,7.8,0.4
Roxine Kerby,MIL,Creador,Baja actividad,3.3,4.8,19.8,3.5,3.7,4.9,4.7,3.5
Marianne Bucknall,CHO,Creador,Baja actividad,1.4,9.4,9.6,6.2,1.2,1.8,2.4,1.4
Carina Whittles,OKC,Tirador estatico,Perimetral,-2.5,7.4,17.1,6.6,6.0,6.5,8.4,0.4
Rae Kiggel,DEN,Creador,Protector del aro,14.6,5.6,6.9,5.0,7.5,7.8,7.4,0.5
Freemon Jennison,PHI,Roller,Baja actividad,4.8,6.2,5.2,7.3,1.1,9.1,3.6,3.2
Cyrillus Sullly,DET,Creador,Reboteador,-4.9,4.3,12.1,0.1,5.5,5.4,1.0,0.9
Patrizio Bamford,MIN,Tirador estatico,Perimetral,14.0,11.8,3.1,2.4,4.4,2.0,9.6,1.1
Elspeth Deluze,MIA,Roller,Baja actividad,-0.2,7.2,3.6,8.1,1.8,8.9,2.2,3.0
Ottilie Konert,OKC,Tirador,Reboteador,-4.7,4.3,5.8,3.8,6.8,9.2,8.9,2.4
Toddie Hebburn,MIA,Creador,Reboteador,-2.6,1.4,18.1,6.9,7.6,9.3,1.2,0.5
Gianna Yewen,CLE,Roller,Perimetral,12.9,6.8,18.7,9.9,2.5,9.3,2.1,0.5
Morgan Higford,PHI,Creador,Protector del aro,14.5,9.7,-5.3,8.8,6.2,3.9,2.0,0.6
Urban Bushrod,IND,Creador,Reboteador,-3.3,9.4,5.7,7.8,9.4,1.1,8.5,2.2
Carlos Lowey,IND,Tirador estatico,Perimetral,1.8,-2.5,13.5,9.6,7.9,8.4,2.2,2.7
Licha Dunrige,MIN,Roller,Reboteador,7.3,-1.0,-3.0,2.2,8.5,9.0,2.8,2.7
Tedra Pichan,CHO,Roller,Baja actividad,13.5,1.0,5.2,4.5,8.7,5.7,7.4,3.0
Chiquita Tewkesberry,CHI,General,Perimetral,2.2,5.3,-1.8,5.3,7.8,6.0,2.1,0.2
Cass Flook,CHI,General,Baja actividad,6.1,-0.3,18.0,0.8,1.3,4.2,4.0,3.4
Augustine Enriquez,DAL,Roller,Reboteador,-1.0,-0.9,-6.4,8.1,7.0,4.4,3.8,1.2
Arri Triplett,CHI,Tirador,Bloqueos,1.3,8.5,24.4,5.9,0.2,6.6,6.8,0.9
Ethelin Halversen,DEN,Tirador,Perimetral,6.9,7.8,2.0,1.5,8.7,6.1,2.0,0.8
Adelaida Child,DEN,Creador,Perimetral,12.0,8.6,4.9,6.9,3.3,6.7,4.3,3.6
Dru Korneichuk,OKC,Roller,Baja actividad,0.5,6.0,-5.5,8.8,2.2,7.5,6.9,1.3
Lila Grahlman,PHI,General,Baja actividad,0.7,0.8,-0.1,4.7,2.3,9.1,3.6,1.4
Rivy Worley,IND,Roller,Perimetral,-4.9,-1.3,2.7,8.2,3.2,5.1,8.1,0.4
Esme St. Aubyn,BRK,Creador,Protector del aro,6.9,2.7,7.2,7.0,4.6,0.4,1.7,0.9
Ardra Padley,BRK,Tirador estatico,Perimetral,-1.9,-0.1,-1.0,1.7,9.0,7.5,6.0,2.1
Cordelia Cowderoy,BRK,General,Reboteador,11.9,11.5,25.8,10.0,7.4,0.1,8.5,3.6
Pearline Bosdet,MIA,Creador,Protector del aro,14.2,5.3,5.5,2.5,2.2,6.7,1.0,3.7
Ophelie Tourne,BOS,Tirador,Protector del aro,-3.6,6.2,-5.9,5.4,0.5,6.5,7.3,0.8
Lynde Petera,ORL,Tirador,Perimetral,4.7,7.7,18.6,0.6,7.4,9.8,0.2,0.5
Sophie Panswick,DEN,Creador,Protector del aro,4.2,-2.7,2.6,5.5,1.3,1.5,8.1,3.3
Glynda Terris,DAL,Creador,Baja actividad,1.6,6.4,1.2,0.8,8.7,3.7,3.8,1.4
Orrin Matthiae,CHO,Creador,Bloqueos,1.9,1.3,19.3,3.9,1.7,2.9,6.3,0.7
Hobey Selborne,CHI,Creador,Bloqueos,-0.6,-0.3,17.2,2.2,8.8,7.1,3.8,0.6
Elizabet Roskell,PHI,Tirador estatico,Protector del aro,2.2,7.8,8.9,2.2,8.1,1.2,3.9,1.3
Holt Cundy,DEN,General,Protector del aro,12.7,10.8,22.3,8.8,3.1,4.1,4.5,2.6
Filia Croxall,DET,General,Bloqueos,14.8,9.6,-0.5,3.2,8.9,5.7,3.1,2.8
Christoph Antonetti,NYK,Roller,Perimetral,13.0,10.3,21.1,5.1,5.8,3.8,7.3,3.4
Wang Artiss,PHO,Roller,Baja actividad,4.9,0.9,16.2,3.1,4.3,6.3,4.0,1.9
Esme Goatman,ORL,Tirador,Reboteador,-1.2,1.9,-8.0,3.0,2.6,1.0,1.7,3.7
Tina Farnham,OKC,Tirador,Bloqueos,12.5,6.4,26.2,1.1,7.7,4.2,9.3,1.7
Celene Worling,IND,Roller,Reboteador,4.2,5.5,9.2,10.0,7.6,9.3,6.1,0.8
Charleen Beininck,DEN,Creador,Bloqueos,-3.6,-2.2,0.4,5.9,9.8,8.6,4.0,3.5
Nolana Filon,CHI,Tirador estatico,Reboteador,10.0,-0.9,8.2,8.5,2.7,3.6,5.0,2.5
Anallise Crake,WAS,Tirador estatico,Perimetral,13.7,-0.9,13.8,6.4,5.7,8.2,3.9,3.9
Brandy Denisevich,DEN,Tirador estatico,Perimetral,14.0,9.2,15.7,0.8,4.6,0.8,0.7,0.8
Greer Ganiford,CLE,Roller,Reboteador,-1.9,-1.4,-5.5,3.7,0.2,4.5,7.8,0.2
Rod Marrows,CHI,Creador,Perimetral,9.7,4.3,20.6,6.6,7.3,0.6,5.9,2.0
Liana Moyce,CLE,Creador,Baja actividad,4.9,10.6,-6.3,6.6,7.1,3.4,2.0,2.1
Galen Jankowski,MIL,General,Perimetral,13.2,8.5,17.0,4.0,7.4,1.1,6.4,0.9
Anastasia Antonowicz,WAS,Creador,Baja actividad,8.6,3.4,1.6,5.5,4.4,9.8,4.2,2.5
Nap Jeune,DAL,Tirador estatico,Reboteador,3.0,2.9,13.5,1.5,7.5,1.5,6.3,1.9
Emelda Reddyhoff,MIN,Tirador,Bloqueos,13.6,0.7,25.2,9.0,6.3,2.7,9.8,0.3
Bron Ivanitsa,CHO,Roller,Bloqueos,-1.6,0.2,-6.1,6.4,4.7,9.8,3.8,0.9
Jillene Perks,ORL,Roller,Baja actividad,4.9,6.7,3.0,0.9,3.7,9.7,0.5,0.4
Rudd Dowthwaite,BOS,Roller,Baja actividad,2.5,6.6,7.5,2.9,3.8,9.5,4.9,0.9
Doralia Abramzon,BRK,Tirador,Protector del aro,8.8,10.9,24.6,3.0,9.4,5.3,3.5,3.3
Rycca Gaitone,MIL,Tirador,Perimetral,0.6,1.5,-7.4,2.1,2.3,7.8,9.8,3.1
Zondra Surfleet,PHO,Creador,Reboteador,1.7,11.6,7.2,5.8,5.6,3.9,1.5,2.2
Christoforo Slessor,MIA,Creador,Protector del aro,12.7,4.5,8.6,2.6,4.8,2.8,2.5,2.6
Hazlett Rockwill,DAL,Creador,Reboteador,8.0,7.6,22.3,3.7,7.6,6.2,5.7,0.8
Benita Philipeau,MIA,Roller,Bloqueos,12.7,0.8,-7.0,5.3,2.8,0.0,7.0,3.8
Marris Coupman,IND,Roller,Protector del aro,6.8,8.8,7.5,1.2,1.7,6.9,0.8,2.4
Sandor Goshawk,CHI,Roller,Reboteador,13.2,3.4,14.0,6.1,1.6,6.1,6.5,2.2
Lorin Posner,CHI,Tirador estatico,Reboteador,9.9,1.1,12.1,1.4,7.0,5.7,1.2,2.0
Glenda Woodgate,ORL,Tirador estatico,Baja actividad,0.1,10.4,13.2,4.8,8.0,1.3,0.5,1.3
Lainey Jesteco,CLE,Tirador,Reboteador,8.1,-2.2,2.9,0.4,1.2,0.6,8.0,1.2
Hew Bausmann,NYK,Creador,Bloqueos,12.9,4.2,19.3,2.4,2.8,2.2,2.4,0.4
Collette Extence,DET,Tirador estatico,Perimetral,-0.8,10.2,-7.1,0.8,9.8,6.3,1.1,0.6
Sancho Gaddas,PHO,Creador,Protector del aro,1.6,4.7,4.2,7.6,4.3,3.0,5.0,3.7
Polly Millwall,MIA,Tirador,Protector del aro,5.7,0.2,9.6,5.8,1.5,0.5,6.9,2.4
Tallia Ferroli,NYK,Tirador,Protector del aro,2.0,9.8,5.8,2.6,7.7,3.8,4.1,3.4
Dianne Seifenmacher,NYK,Creador,Perimetral,4.9,12.0,24.4,5.8,1.4,9.2,9.2,2.1
Starlene Courson,NYK,Tirador,Reboteador,-2.5,11.1,10.0,3.5,0.1,3.0,6.9,2.7
Persis Izsak,MIA,Creador,Bloqueos,4.3,-0.8,-4.4,9.2,1.4,5.1,7.1,1.9
Roi Tiplady,WAS,Roller,Bloqueos,7.2,10.0,-2.5,1.4,0.1,4.7,7.2,1.8
Hastie Adin,OKC,Tirador estatico,Bloqueos,10.7,5.2,12.3,2.3,4.9,5.4,3.1,0.7
Duff Worsfield,IND,Tirador,Reboteador,11.5,2.7,16.4,3.2,6.6,1.5,2.2,3.2
Arri Deason,DAL,General,Reboteador,11.3,-2.5,3.7,0.3,2.3,5.6,9.5,2.5
Arturo Spafford,BRK,Tirador,Bloqueos,11.9,-1.7,-6.9,2.6,7.1,5.3,3.3,0.4
Hebert Naylor,DEN,General,Baja actividad,2.7,0.9,11.6,6.8,1.9,3.7,5.4,0.4
Eleonora Colbron,ORL,Roller,Bloqueos,-1.1,7.9,16.0,2.9,4.0,7.4,8.3,0.2
Man Barriball,PHO,Roller,Perimetral,-1.0,7.2,26.2,2.9,8.1,6.2,8.7,1.1
Ann-marie Scutcheon,ATL,Roller,Bloqueos,6.0,0.9,7.2,0.6,9.4,8.0,7.3,3.8
Rachele De Vaar,PHO,General,Reboteador,1.9,-0.3,17.6,6.4,1.6,4.7,5.5,0.7
Francisco Waywell,TOR,General,Bloqueos,12.3,5.4,8.0,8.6,1.8,3.6,9.7,1.2
Aimee Snyder,IND,Tirador estatico,Protector del aro,-2.3,-1.4,26.2,8.7,2.7,3.3,2.1,0.4
Cristin Samson,DET,Roller,Protector del aro,5.1,-1.3,25.3,7.5,5.2,2.7,8.3,0.9
Constancia Saines,MIN,Tirador,Reboteador,1.6,11.6,-6.9,0.5,1.5,1.1,9.7,3.5
Chandra Gierck,CLE,Roller,Bloqueos,11.8,5.0,25.4,4.2,1.9,1.0,8.1,3.9
Fulvia Gomery,CHO,General,Reboteador,8.2,4.9,26.0,9.3,5.8,9.2,6.4,1.3
Herb Goodbur,MIL,Tirador estatico,Perimetral,12.7,9.4,14.9,5.8,4.0,0.2,0.3,3.4
Conny McElree,OKC,Tirador,Reboteador,-0.1,7.6,21.5,8.0,1.8,8.2,1.0,1.2
Elbertine Jerrems,NYK,Tirador,Reboteador,14.9,0.4,2.4,1.9,0.8,3.4,5.6,3.0
Margarethe Hastler,MIN,General,Perimetral,8.9,6.0,14.7,4.4,7.4,0.3,8.9,3.3
Jedidiah Vitet,CLE,Tirador,Reboteador,11.1,3.6,-3.2,6.9,5.3,9.3,8.9,1.0
Noak Mathou,DET,Tirador estatico,Perimetral,4.5,2.4,-1.3,8.3,3.0,0.2,5.7,2.0
Boot Chastang,PHO,Tirador,Reboteador,11.2,11.9,4.9,7.1,3.0,5.5,0.5,0.8
Markos Timmons,PHO,Tirador,Bloqueos,4.6,-0.4,26.0,7.3,7.5,7.3,4.2,2.6
Anita Quickenden,NYK,Tirador,Bloqueos,-1.9,9.2,8.7,7.8,7.3,6.1,3.8,0.6
Amabelle Stogill,CHI,General,Protector del aro,7.9,-2.3,21.8,2.4,5.5,3.7,2.2,1.9
Bambie Coughlan,MIA,Tirador estatico,Baja actividad,13.6,2.7,-5.2,0.7,1.4,8.3,9.0,1.9
Vitia Moulton,ATL,Creador,Perimetral,-1.8,9.5,10.0,8.3,4.1,7.4,0.7,1.4
Ozzy Bore,DAL,General,Baja actividad,14.7,8.8,-1.1,1.5,1.9,0.8,3.3,3.0
Rickey Huard,PHO,Roller,Baja actividad,2.4,4.3,-2.7,1.1,4.6,6.2,3.2,0.2
Vivienne Belcham,DAL,General,Bloqueos,14.4,-2.5,8.7,6.4,10.0,6.4,6.4,2.8
Brynna Di Dello,DEN,Tirador,Protector del aro,1.1,0.5,17.1,0.2,1.1,7.9,7.7,1.6
Derrik Grahame,CHI,Creador,Protector del aro,-1.5,0.3,-6.2,5.9,2.0,9.5,9.9,3.1
Frederik Nucci,ATL,General,Baja actividad,11.3,0.3,1.6,3.3,1.5,2.9,0.6,1.5
Rebeca Isaksen,PHI,Roller,Bloqueos,5.2,9.7,26.4,4.1,1.2,5.3,1.3,0.1
Leda Mehmet,DAL,Tirador estatico,Bloqueos,-2.0,-1.4,9.3,9.6,9.9,7.1,3.4,3.8
Herold Brizland,BOS,Tirador estatico,Bloqueos,-1.3,10.8,19.3,4.8,6.0,7.6,6.2,1.1
Edi Brooking,CHI,General,Perimetral,-4.4,4.4,-6.5,8.1,0.0,2.3,4.2,1.3
Thorstein Casel,CHI,Tirador estatico,Bloqueos,-1.4,7.1,12.3,1.1,7.5,7.8,8.0,3.6
